Author,BookTitle,Date,PriceAPaperback,PriceBkindle,Ratings,SummaryAuthor,XcoverPicture
, Vox , ,," 12.99 , 26.00 , 15.49 , 7.23 ","4,597 ",,
Erik Zidowecki,  Dual Language Word Searches - English - Basque - Volume 1 ,"   April 20, 2020 ", 9.99 ,,2 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Willow Rose,  Savage (Daughters of the Jaguar Book 1) ,  Kindle Edition ,, 17.99 ,538 ,"Other books in this series:,willow-rose.net ",
Erik Zidowecki,  Dual Language Word Searches - English - Dutch - Volume 1 ,"   April 16, 2020 ", 9.99 ,,,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
," Harry Potter and the Sorcerer's Stone, Book 1 ", ,," 13.49 , 6.98 , 24.99 ",914 ,,
くまなの,  Kuma Kuma Kuma Bear (Light Novel) Vol. 7 ,  Kindle Edition , 8.99 , 13.99 ,370 ,"Kumanano, is a Japanese author best known for the ,Kuma Kuma Kuma Bear ,light novels and manga.,029, is a Japanese artist best known for the illustrations in the light novel series ,Kuma Kuma Kuma Bear, and ,The Devil is a Part-Timer!,--This text refers to the , edition.",
Guy Haley,"  Avenging Son (Dawn of Fire: Warhammer 40,000 Book 1) ",  Kindle Edition , 9.99 ,,498 ,,
, Adultery: A Novel , ,," 11.99 , 24.95 , 9.49 , 34.95 ","2,570 ",,
H. G. Wells,  The Invisible Man (AmazonClassics Edition) ,  Kindle Edition ,," 13.98 , 3.60 , 5.95 , 15.00 ","6,226 ",,
Ivy Smoak,  Devotion (The Hunted Series) ,"   October 27, 2016 ", 15.99 , 29.99 ,"7,401 ","""I have always loved this series because of its dense and captivating plot filled with so many emotions.  For anyone who has started the Hunted Series or has read Eruption and is waiting for Devotion, ,IT IS WORTH THE DAMN WAIT,."" - ,Jia Ming from Unfathomable Reads Blog,""This book was amazing! I couldn't put it down. There's heat, sadness, suspense! ,It was sensory overload!,  Ivy did an amazing job! She pulls you in with her writing skills, twists you up and then leaves you in a ,breathless, heart pounding mess,! Loved every second of it!"" - ,Jen from Goodreads,""Devotion evoked so many different emotions in me.  So much happens and at times, it is ,completely heart-stopping,.  The book is filled with mystery, suspense and some surprises that will completely shock the reader. Ivy Smoak truly knows how to grab her readers and hold them captivated until the very end. Thanks Ivy Smoak for giving your readers a satisfying ending to a ,deliciously beautiful story,."" - ,Jennifer from Goodreads,Ivy Smoak is the international bestselling author of The Hunted series. When she's not writing, you can find her binge watching too many TV shows, taking long walks, playing outside, and generally refusing to act like an adult. She lives with her husband in Delaware. ,Get a FREE sexy short story and find out about all her latest releases by joining her newsletter: eepurl.com/byfJUv,Learn more about Ivy on her website at ivysmoak.com or you can find her on:,Facebook/Twitter/Instagram: @IvySmoakAuthor",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,"  Indomitus (Warhammer 40,000) ","   August 3, 2021 ", 16.00 , 8.99 ,565 ,"Gav Thorpe is the author of the Horus Heresy novels The First Wall, Deliverance Lost, Angels of Caliban and Corax, as well as the novella The Lion, which formed part of the New York Times bestselling collection The Primarchs, and several audio dramas. He has written many novels for Warhammer 40,000, including Ashes of Prospero, Imperator: Wrath of the Omnissiah and the Rise of the Ynnari novels Ghost Warrior and Wild Rider. He also wrote the Path of the Eldar and Legacy of Caliban trilogies, and two volumes in The Beast Arises series. For Warhammer, Gav has penned the End Times novel The Curse of Khaine, the Warhammer Chronicles omnibus The Sundering, and recently penned the Age of Sigmar novel The Red Feast. In 2017, Gav won the David Gemmell Legend Award for his Age of Sigmar novel Warbeast. He lives and works in Nottingham.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Alissa Noel Grey,"  The Healthy College Cookbook: Quick, Cheap and Easy Meals for Students Who are New to the Kitchen: Healthy, Budget-Friendly Recipes for Every Student (Healthy Eating Made Easy) ","   August 6, 2019 ", 8.99 ,,15 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
," House of Earth and Blood: Crescent City, Book 1 ", ,," 9.99 , 23.99 , 15.99 , 28.19 ","44,490 ",,
, Everything's Eventual: 14 Dark Tales , ,," 11.99 , 10.50 , 13.00 , 8.56 , 24.96 ","2,329 ",,
Rebecca Yarros,  Fourth Wing ,"  Hardcover – May 2, 2023 ", 26.99 , 14.99 ,,,
Erik Zidowecki,  Dual Language Word Searches - English - Norwegian - Volume 1 ,"   April 18, 2020 ", 9.99 ,,,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Erik Zidowecki,  Dual Language Word Searches - English - Swedish - Volume 1 ,"   April 17, 2020 ", 9.99 ,,2 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Dale Ivan Smith,  Empowered: Agent (The Empowered Series Book 1) ,  Kindle Edition , 0.00 , 14.99 ,182 ,,
,"  Overlord, Vol. 15 (light novel) ","  Hardcover – March 21, 2023 ", 18.00 , 9.99 ,,Kugane Maruyama is the author behind the Overlord novel series.,
Sam Maggs,  Critical Role: The Mighty Nein Origins--Nott the Brave ,"  Hardcover – January 31, 2023 ", 16.19 , 10.99 ,,"Sam Maggs is a bestselling author of books, comics, and video games. She’s been a senior games writer, including work on ,Marvel’s Spider-Man,; the author of many YA and middle-grade books like ,The Unstoppable Wasp,, ,Con Quest!,, ,Tell No Tales,, and ,The Fangirl’s Guide to the Galaxy,; and a comics writer for beloved titles like ,Marvel Action: Captain Marvel,, ,My Little Pony,, and ,Transformers,. She is also an on-air host for networks like Nerdist. A Canadian in Los Angeles, she misses Coffee Crisp and bagged milk.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Johanna Wittenberg,  The Queen of Hel (The Norsewomen Book 5) ,  Kindle Edition ,, 13.99 ,34 ,,
Makoto Shinkai,  your name. (light novel) ,"  Hardcover – May 23, 2017 ", 19.64 , 7.99 ,956 ,"Makoto Shinkai is the author of ,your name., The Garden of Words, ,and ,5 Centimeters Per Second. ",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Jorge Luis Borges,  The Aleph and Other Stories (Penguin Classics) ,"   July 27, 2004 ", 15.99 ,,187 ,"""He more than anyone renovated the language of fiction and thus opened the way to a remarkable generation of Spanish-American novelists. Gabriel García Márquez, Carlos Fuentes, José Donoso, and Mario Vargas Llosa have all acknowledged their debt to him."" —J,.M. Coetzee,, ,The New York Review of Books,Jorges Luis Borges, was born in Buenos Aires in 1899 and educated in Europe. One of the most widely acclaimed writers of our time, he published many collections of poems, essays and short stories, before his death in Geneva in June 1986. In 1961 Borges shared the International Publishers' Prize with Samuel Beckett. The Ingram Merrill Foundation granted him its Annual Literary Award in 1966 for his ""outstanding contribution to literature."" In 1971 Columbia University awarded him the first of many degrees of Doctor of Letters, honoris causa that he was to receive from the English-speaking world. In 1971 he received the fifth biennial Jerusalem Prize and in 1973 was given the Alfonso Reyes Prize, one of Mexico's most prestigious cultural awards. In 1980 he shared the Cervantes Prize (the Spanish world's highest literary accolade) with Gerardo Diego. Borges was Director of the Argentine National Library from 1955 until 1973. In a tribute to Borges, Mario Vargas Llosa wrote: ""His is a world of clear, pure, and at the same time unusual ideas...expressed in words of great directness and restraint. [He] was a superb storyteller. One reads most of Borges' tales with the hypnotic interest usually reserved for reading detective fiction..."",Andrew Hurley, is a translator of numerous works of literature, criticism, history, and memoir. He is professor emeritus at the University of Puerto Rico.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Erik Zidowecki,  Dual Language Word Searches - English - Danish - Volume 1 ,"   April 18, 2020 ", 9.99 ,,,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Indo-European Cognate Dictionary ,"   March 28, 2018 ", 18.75 ," 7.99 , 28.93 - 28.95 ",114 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Hellsing Deluxe Volume 1 ,"  Hardcover – July 14, 2020 ", 30.99 ,,"2,059 ","Kohta Hirano, is the creator of the ,Drifters, and ,Hellsing, manga series.",
Kazuo Ishiguro,  Klara and the Sun: A novel (Vintage International) ,"   March 1, 2022 ", 14.20 ," 13.99 , 14.98 ","44,493 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Toshikazu Kawaguchi,"  Before the Coffee Gets Cold: A Novel (Before the Coffee Gets Cold Series, 1) ","  Hardcover – November 17, 2020 ", 17.99 ," 25.99 , 24.71 ","12,045 ",""",Before the Coffee Gets Cold,... may explore similar ground to its predecessors in the genre, but it inventively limits the mechanics of its time travel to the confines of a small cafe, and is all the more resonant for it... the narrative is deeply moving."" ,-Chicago Review of Books,""Heartwarming, quirky, and wistful."" ,-Huffpost,""A charming novel about a mysterious Japanese coffee shop in which customers who sit in a certain chair can go back in time - but just while their coffee is cooling."" ,-Star Tribune,""Kawaguchi... has a surprising, unerring ability to find lasting emotional resonance. Interwoven into what initially feels like a whimsical escape are existential conundrums of love and loss, family and freedom, life and death."" ,-The Christian Science Monitor,""By cleverly weaving fantastic strands into what turns out to be an entertaining tale... Kawaguchi builds suspense from scene to scene, carefully selecting his narrative clues."", -The Arts Fuse,""The story is gold. ,Before the Coffee Gets Cold ,is perfect for anyone who wants to feel connected right now."" ,-BookReporter,""Before the Coffee Gets Cold, is able to create pathos for the characters who yearn in earnest to change the past... Check out Kawaguchi’s work if you fancy a break from the inescapable reality of the pandemic."", -The Mancunion,""Toshikazu lays out a system of time travel that is unconvoluted and beautifully simple... This charmingly magical novel is about discovering happiness despite the pasts that we desperately want to revisit."" -,The Harvard Crimson,""An affecting, deeply immersive journey into the desire to hold onto the past. This wondrous tale will move readers."",—,Publishers Weekly, ,""This is a sweet, fable-like tale about a magical seat in a cafe where you can, if you wish, go back in time… An odd read, but also a charming one."",—,The Sydney Morning Herald, ,“A story about human relationships, missed opportunities and the enduring power of love.”,—,The Gryphon, ,""A thought-provoking and at times tear-jerking realization about what we would say if we could go back in time.”,—,Palatinate, ,“It is full of soul, presented through clever world building and unfolding of its characters and relationships.”,—,Books and Bao, ,""A complete page-turner from the start to the end.”,—,Buzzfeed",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Erik Zidowecki,  Dual Language Word Searches - English - German ,"   April 8, 2020 ", 9.99 ,,3 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Erik Zidowecki,  Dual Language Word Searches - English - Welsh - Volume 1 ,"   April 19, 2020 ", 9.99 ,,3 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
T.S. Falk,  THE MISSING LINK: A SciFi Adventure (The Ancient Secrets Book 4) ,  Kindle Edition ,,,34 ,,
Isabel Allende,  The Japanese Lover: A Novel ,"   July 5, 2016 ", 10.59 ," 13.99 , 1.59 , 19.99 ","6,317 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
George Orwell,  1984 ,"   January 14, 2021 ", 11.99 , 66.31 ,"4,494 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
J.K. Rowling,  Harry Potter 1-3 Box Set: A Magical Adventure Begins ,"   October 31, 2019 ", 24.84 ,,"3,023 ",,
,"  MONOGATARI Series Box Set, Season 2 ","   Box set, December 17, 2019 ", 67.46 ,,"1,167 ","NISIOISIN works often cover themes of youth, but are framed in genres that are familiar to the masses. His works tend to mix mystery with comedy and touches or romance and/or the supernatural. Many of his works have been adapted into animated television series and films. His best known works are the Monogatari Series and Katanagatari.,Appraised by the fans around the world as ""The Magician of Light and Shadow from Taiwan"", VOFAN is famously known for using vibrant art style with unique camera techniques in his artworks.,As the main illustrator for NISIOISIN's novel series for over a decade, VOFAN has illustrated more than 30 book covers, dozens of original character designs, illustrated for magazine covers such as Famitsu and Fancy Frontier Magazine.",
Emily St. John Mandel,  Station Eleven ,"   June 2, 2015 ", 13.95 ," 11.99 , 27.00 , 28.40 ","23,703 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Ralph Castle,"  The Memory Bible: 4 Books in 1: Radically Improve Your Reading Speed, Learning Skill and Memory Power in 48 HOURS OR LESS! (Memory Improvement) ","   August 29, 2018 ", 19.74 , 4.99 ,7 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
LINGUAS CLASSICS,  LEARN SPANISH WHILE HAVING FUN! - ADVANCED: INTERMEDIATE TO PRACTICED - STUDY 100 ESSENTIAL THEMATICS WITH WORD SEARCH PUZZLES - VOL.1: Uncover How to ... Skills Actively! - A Fun Vocabulary Builder. ,"   January 20, 2022 ", 14.99 ,,,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Anthony Reynolds,  Renegades of the Long War ,"   January 31, 2023 ", 17.49 ,,,,
Kouko Shirakawa,  Raven of the Inner Palace (Light Novel) Vol. 1 ,  Kindle Edition , 9.99 , 13.49 ,20 ,"Kouko Shirakawa, is an author in Japan best known for ,Raven of the Inner Palace.,Ayuko, is a prolific artist and manga creator in Japan best known for the manga adaptation of ,The Earl and The Fairy, and the cover illustrations for the ,Raven of the Inner Palace, light novels.,--This text refers to the , edition.",
,"  Dandadan, Vol. 3 (3) ","   April 11, 2023 ", 9.99 ,,,"Before his 2010 debut in ,Gekkan Shounen Magazine, with ,Seigi no Rokugou, (Rokugou of Justice), Yukinoba Tatsu worked as an assistant for manga artist Tatsuki Fujimoto on the well-known series ,Chainsaw Man, and ,Fire Punch,.",
Erik Zidowecki,  Dual Language Word Searches - English - Spanish ,"   April 3, 2020 ", 9.99 ,,4 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Erik Zidowecki,  Dual Language Word Searches - English - Portuguese - Volume 1 ,"   April 12, 2020 ", 9.99 ,,1 rating,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
J.R.R. Tolkien,  J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings ,"  Mass Market  Box set, September 25, 2012 ", 18.54 , 38.50 ,"20,564 ","John Ronald Reuel Tolkien, was born on January 3, 1892, in Bloemfontein, South Africa. After serving in World War I, he embarked upon a distinguished academic career and was recognized as one of the finest philologists in the world. He was a professor of Anglo-Saxon at Oxford, a fellow of Pembroke College, and a fellow of Merton College until his retirement in 1959. He is, however, beloved throughout the world as the creator of Middle-earth and author of such classic works as ,The Hobbit ,and,The Lord of the Rings. He died on September 2, 1973, at the age of eighty-one.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
James Rollins,  The Cradle of Ice (Moonfall Book 2) ,  Kindle Edition , 14.99 , 24.99 ,,,
Boris Akunin,  The Winter Queen ,"   January 1, 2004 ", 12.14 ," 7.99 , 19.94 , 51.79 ",420 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
," Wicked Cravings: The Phoenix Pack, Book 2 ", ,," 12.95 , 19.21 ","3,239 ",,
,  Berserk Deluxe Volume 3 ,"  Hardcover – November 5, 2019 ", 40.86 ,,"5,697 ","While attending college at Nihon University, in 1988, Kentaro Miura debuted a 48-page manga known as ,Berserk Prototype,, an introduction to the current ,Berserk, fantasy world. It went on to win Miura a prize from the Comi Manga School. In 1989, after receiving a doctorate degree, Kentarou started a project titled King of Wolves based on a script by Buronson, writer of ,Hokuto no Ken, (,Fist Of The North Star,).,In 1990, the first volume ,Berserk, was released with a relatively limited success. Miura again collaborated with Buronson on manga entitled ,Japan,. Miura's fame grew after ,Berserk, began ""The Golden Age"" story arc and the huge success of this masterpiece made of him one of the most prominent contemporary manga artists.,In 1997, Miura supervised the production of 25 anime episodes of ,Berserk, that aired in the same year on NTV. ,The series has also spawned a whole host of merchandise, both official and fan made, ranging from statues and action figures, to key rings, video games, and a trading card game. In 2002, Kentaro Miura received the second place in the Tezuka Osamu (,Astro Boy,) Cultural Prize of Excellence for ,Berserk,. The author lives in Tokyo, Japan.",
Mario Vargas Llosa,  Conversation in the Cathedral ,"   February 1, 2005 ", 15.99 , 14.99 ,95 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Ryan Johnson,  Fearlessly Fluent Fast: Learn Your Next Language Fast Like A Kid!: 7 Simple Neuro-Linguistic Hacks to Speak your Foreign Language in 3 Months Use Everyday Activities & Build Fluency Fast Like Children ,"   December 25, 2022 ", 14.99 , 23.99 ,22 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Roshani Chokshi,  The Last Tale of the Flower Bride: A Novel ,"  Hardcover – Deckle Edge, February 14, 2023 ", 24.99 ," 14.99 , 41.99 ",,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  How To Become a Translator: Your Step-By-Step Guide To Becoming a Translator ,"   August 22, 2016 ", 19.99 ," 9.99 , 29.99 ",5 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,"  Solo Leveling, Vol. 7 (novel) ",  Kindle Edition , 8.99 , 15.00 ,,,
Erik Zidowecki,  Dual Language Word Searches - English - Finnish - Volume 1 ,"   April 17, 2020 ", 4.64 ,,2 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Esperoart Designs,  The Big Book of Letter Tracing and Other Fun Activities: Handwriting Practice Workbook with Coloring Pages and Engaging Activities for Preschoolers ,"   August 6, 2022 ", 10.99 ,,3 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,        D&D Monster Manual (Dungeons & Dragons Core Rulebook)       ,,,,"23,578 ",,
Martha Wells,  System Collapse (The Murderbot Diaries Book 8) ,  Kindle Edition , 11.99 , 19.79 ,,"MARTHA WELLS has written many fantasy novels, including ,The Wizard Hunters,, ,Wheel of the Infinite,, the Books of the Raksura series (beginning with ,The Cloud Roads, and ending with ,The Harbors of the Sun), ,and the Nebula-nominated ,The Death of the Necromancer,, as well as YA fantasy novels,,short stories, and nonfiction. Her ,New York Times ,and ,USA Today-,bestselling Murderbot Diaries series has won the Hugo, Nebula, Locus, and Alex Awards.,--This text refers to the , edition.",
J.R.R. Tolkien,  Beowulf: A Translation and Commentary ,"  Hardcover – May 22, 2014 ", 18.89 ," 11.99 , 14.09 ","1,328 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Joshua Dalzelle,  Omega Force: Unleashed (OF14) ,  Kindle Edition ,, 15.99 ,"1,794 ",,
Silvia Moreno-Garcia,  Mexican Gothic ,"   June 15, 2021 ", 13.06 , 13.99 ,"22,947 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
," The Librarian of Crooked Lane: The Glass Library, Book 1 ", ,," 3.99 , 20.99 , 9.99 ","1,768 ",,
Asato Asato,"  86--EIGHTY-SIX, Vol. 1 (light novel) (86--EIGHTY-SIX (light novel), 1) ","   March 26, 2019 ", 14.00 , 7.99 ,"1,396 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
David Weber,  What Price Victory? (Honor Harrington - Worlds of Honor Book 7) ,  Kindle Edition , 9.99 , 27.00 ,,"With more than eight million copies of his books in print and 33 titles on the ,New York Times ,bestseller list, David Weber is a science fiction powerhouse. In the vastly popular Honor Harrington series, the spirit of C.S. Forester’s Horatio Hornblower and Patrick O’Brian’s ,Master and Commander ,live on—into the galactic future. Books in the Honor Harrington and Honorverse series have appeared on 21 bestseller lists, including ,The Wall Street Journal, The New York Times, ,and ,USA Today., Additional Honorverse collaborations include the spin-off miniseries Manticore Ascendant with ,New York Time ,best-selling author Timothy Zahn; and with Eric Flint, ,Crown of Slaves,, ,Cauldron of Ghosts,, and ,To End in Fire, contribute to Weber’s illustrious list of ,New York Times, and international bestsellers., , Best known for his spirited, modern-minded space operas, Weber is also the creator of the Oath of Swords fantasy series and the Dahak Saga, a science fiction and fantasy hybrid. Weber has also engaged in a steady stream of best-selling collaborations: the Starfire series with Steve White; the Empire of Man series with John Ringo; the Multiverse series with Linda Evans and Joelle Presby; and the Ring of Fire series with Eric Flint.,--This text refers to the , edition.",
Benjamin Cantley,"  My First Early Learning Coloring Book for Toddlers: Large Drawings of Animals and Fruits. Coloring and Tracing Letters, Numbers and Shapes. ","   November 21, 2022 ", 6.99 ,,,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Thomas's Fears and Hopes: Short Stories in Plain Spoken Italian Bilingual for speakers of English Pre-intermediate Level (Graded Italian Readers) ,"   July 19, 2018 ", 14.99 ,,,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Erik Zidowecki,  Dual Language Word Searches - English - Italian ,"   February 18, 2020 ", 9.99 ,,2 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Erik Zidowecki,  Dual Language Word Searches - English - Catalan - Volume 1 ,"   April 19, 2020 ", 4.03 ,,,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Octavia E. Butler,  Unexpected Stories ,  Kindle Edition , 11.99 ,,351 ,,
Joy Slaughter,  Norinian Uprising (The Turmoil of Gavony—Book One): An Epic Fantasy ,  Kindle Edition ,," 49.99 , 21.99 ",24 ,""",Norinian Uprising, is a wonderful mix of ,epic adventure,, complicated characters with beautiful and ,messy relationships,, and socio-political drama, with a healthy dose of pirates and witches! Despite the vast array of characters, each one was fully fleshed out with ,clear motivations, and desires. One of Joy's great strengths as an author is ,character creation,. She is fabulously good at creating ,flawed heroes,, villains who you can't quite get yourself to hate, and a number of characters who don't clearly fall on one side or the other."",~C. Marcoux,""This novel is intricately plotted [and] ,brimming with suspense,...The writing is exquisitely fluid, and the setting is richly imagined and superbly executed. Joy Slaughter has the gift of writing ,compelling conflicts, and creating ,characters that are rich in their humanity., It is impossible to resist the pull of Slaughter's storytelling once hooked. ,Norinian Uprising, is an ,immersive tale, and the perfect escape for fans of fantasy."",~Franklin Bauer, TBC,""There is a lot to relish in this novel, starting with the author's, exquisite writing,, the bold plot points, and the dialogues crafted with confidence. The author is consistent in capturing [the characters'] unique way of speaking through dialogue [and] fills the writing with intelligently written dialogues that build the drama, deepen characterization, and enrich the already ,stunningly imagined world,. Joy Slaughter creates characters that readers will love, [and] these characters are extensively developed. This original and exciting first entry into the fantasy series is full of ,lush writing and a rich fantasy landscape,. It is suspenseful with many subplots that culminate in a moment of dance. Gareth's words will stay with readers as they wait for the next book: ,""Death is no reason not to dance. Dance now. Dance while you can. Dance until you shatter."","",~David Reyes, The Book Commentary",
Anri Yoshi,"  My Hero Academia: School Briefs, Vol. 6 (6) ","   January 24, 2023 ", 8.38 , 6.99 ,7 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  The Metabaron Vol.2: The Techno-Cardinal & The Transhuman - Oversized Deluxe (2) ,"  Hardcover – March 15, 2017 ", 29.95 , 23.92 ,38 ,"""...it tosses Greek mythology, Frank Herbert’s Dune, and a bit of the old ultraviolence into a blender and presses frappé. ...stunningly illustrated and utterly bananas."" - Publishers Weekly ""This strong science fiction story will not only appeal to readers familiar with the Metabaron catalog and the strong output of Humanoids in the field, but should also be on the radar for audiences weaned on Image Comics' recent presence in the genre over the past few years with titles such as Saga, Prophet, and much more."" - icv2,Born February 7th, 1929, in Tocopilla, Chile, of a Jewish Ukrainian immigrant family. Jodorowsky was multi-talented from an early age, becoming skilled in puppetry and mime, in addition to writing, by his late teens. He traveled with a pantomime troupe in the 1950s, and within a couple years had made his way to Paris where he collaborated with the world-renowned mime Marcel Marceau. In the 1960s, Jodorowsky ventured further into the world of theater, creating in Mexico, the Panic Movement. This innovative artistic movement allowed him to creatively participate in over a 100 theater productions. The 1970s saw him transition into the world of film where he quickly put a defining stamp on all his cinematic works. He directed several cult films, namely the infamous ""El Topo,"" a Midnight movie favorite. Shortly thereafter, Jodorowsky became attached to direct the adaptation of the famous Frank Herbert sci-fi epic novel ""Dune."" At the preparation stage of the film, he brilliantly assembled a team of extremely diverse and gifted artists such as HR Giger, Chris Foss, Dan O'Bannon, and Moebius, all of who would later be hired as concept artists on Ridley Scott's ""Alien."" The development of ""Dune"" came to a halt due to financial problems, but Jodorowsky, having been exposed to such immense visual talent, propelled himself into writing graphic novels, pairing up with the artist Moebius. This collaboration resulted in what many consider to be one of the most creative European sci-fi graphic novel series of all time, ""The Incal,"" which went on to sell millions of copies worldwide. Since penning ""The Incal,"" Jodorowsky continued writing top selling comic books with a wide variety of Europe's most talented artists, such as ""The White Lama"" (with Bess), ""The Metabarons"" (with Gimenez), ""The Technopriests"" (with Janjetov), and most recently ""Bouncer"" (with Boucq). Along with nurturing his many other talents, Jodorowsky remains a unique storyteller whose published contributions have secured his status as one of the world's most prolific graphic novel writers.,Jerry Frissen (born Thierry Frissen in Belgium) is an American comic book writer and toy & graphic designer. He is the senior graphic designer at Humanoids as well as the author of several best-selling graphic novels, including the anthology comic book series ""Lucha Libre"" (""Unfabulous Five,"" ""The Tikitis""), ""The Zombies That Ate The World"" (""The Z Word"") and the new cycle of the internationally acclaimed series ""The Metabarons,"" co-written with Alejandro Jodorowsky and illustrated by Valentin Sécher, Niko Henrichon and Esad Ribic, under the title ""The Metabaron."" In addition to his work on ""The Metabaron,"" Jerry Frissen is also the author of the forthcoming sci-fi thriller ""Exo"" (March 2018).,Niko Henrichon is a Canadian comic artist most known for “Pride of Baghdad” (Vertigo) and “Noah” (Image), the former earning him an Eisner nomination for Best Penciller/Inker. He has also worked on “Fables”, “New X-Men”, “Sandman” and “Spiderman” in addition to his covers of “Fantasic Four” and “X-Men”.",
," Solo Leveling, Vol. 5 (Novel) ", ,," 8.99 , 13.59 ",742 ,,
Matthew Tysz,  We are Voulhire: A New Arrival under Great Skies ,  Kindle Edition ,,,241 ,,
Miguel Angel Asturias,  The President ,  Reprint Edition , 3.18 - 18.89 , 31.02 ,91 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Kevin Lee,  Lee’s Excellent English Basic Sentences - Thai Edition (Lee’s Excellent English Books - Thai Edition) ,"   December 20, 2021 ", 14.00 ,,,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
, The Martian , ,," 8.99 , 25.98 , 8.99 , 16.11 , 26.23 , 37.00 ","56,313 ",,
